ZINC_ID,Glide_5R8T,Glide_5R81,Glide_5REZ,Glide_5RF7,Glide_5RGI,Glide_5RH3,Glide_6LU7_2,Glide_7BUY
C85719098_P134192356,-5.202,-5.45,-5.524,-5.994,-5.343,-5.774,-5.163,-6.346
C03816514_P04453659,-5.4,-6.085,-5.545,-7.166,-4.435,-5.703,-5.794,-6.344
C54558250_P82099258,-5.5,-5.354,-5.152,-5.479,-4.9,-4.784,-6.65,-6.339
C01340138_P20898203,-4.963,-5.293,-5.743,-6.293,-5.19,-4.545,-6.679,-6.338
C94411540_P147962479,-5.101,-6.471,-6.168,-6.549,-5.601,-5.945,-6.011,-6.337
C86376062_P135244147,-5.352,-6.644,-5.803,-6.208,-6.237,-5.674,-5.479,-6.337
C85830220_P155655826,-6.115,-7.373,-6.668,-7.497,-6.214,-7.587,-6.385,-6.335
C40238131_P61091369,-4.588,-6.989,-6.801,-7.078,-6.541,-6.015,-6.668,-6.334
C59458996_P90483474,-4.453,-6.093,-5.972,-6.711,-5.477,-5.077,-6.171,-6.331
C86423174_P135300391,-4.676,-6.804,-5.923,-5.78,-6.413,-5.694,-6.149,-6.33
C70218450_P108237697,-5.505,-7.092,-6.536,-6.917,-5.577,-6.094,-6.623,-6.329
C86355485_P135218371,-5.516,-7.044,-6.326,-6.255,-5.303,-6.112,-6.105,-6.329
C96874694_P153272689,-5.256,-6.525,-5.998,-6.781,-6.173,-5.608,-6.147,-6.328
C86422428_P135299645,-4.874,-5.988,-5.217,-5.634,-4.463,-5.112,-4.653,-6.328
C86622680_P135624488,-4.552,-5.491,-5.54,-5.778,-4.802,-4.418,-5.669,-6.327
C48630735_P72687815,-5.146,-6.039,-5.674,-6.237,-4.717,-5.045,-5.95,-6.325
C82564938_P129029512,-5.772,-6.194,-6.041,-7.614,-5.837,-5.742,-6.241,-6.323
C82857257_P129511063,-5.587,-5.343,-5.342,-6.299,-5.497,-4.92,-5.535,-6.322
C22221111_P33044961,-5.401,-6.411,-5.227,-6.24,-5.633,-5.614,-5.41,-6.318
C94342945_P147869176,-5.177,-6.128,-6.628,-6.047,-6.003,-6.577,-5.288,-6.315
C89221905_P139531015,-4.765,-6.179,-5.523,-7.013,-5.013,-6.013,-6.229,-6.314
C16579088_P25039064,-5.1,-6.914,-6.548,-6.227,-6.676,-6.029,-6.207,-6.314
C35844693_P65523141,-5.194,-7.034,-5.95,-6.234,-4.657,-5.13,-5.436,-6.314
C94602408_P148289624,-5.113,-5.935,-5.406,-7.034,-6.032,-5.452,-6.284,-6.309
C85567848_P133944559,-5.004,-6.841,-5.766,-6.38,-5.585,-6.036,-6.905,-6.304
C06505559_P10242106,-6.09,-7.391,-6.839,-6.41,-5.41,-6.791,-6.556,-6.304
C43425443_P65671827,-5.426,-6.383,-5.779,-5.729,-5.166,-5.661,-6.452,-6.304
C87603315_P137022690,-5.849,-6.27,-6.168,-6.711,-6.352,-5.824,-6.357,-6.304
C84404263_P132098904,-5.566,-5.881,-5.063,-6.032,-5.984,-4.979,-5.693,-6.303
C71155206_P109832466,-5.288,-6.447,-5.556,-6.9,-5.134,-6.082,-6.183,-6.302
C69022340_P129235680,-6.541,-6.565,-6.305,-6.808,-5.28,-5.577,-5.858,-6.302
C79210061_P123677565,-6.305,-4.082,-3.974,-6.12,-4.529,-3.664,-4.464,-6.3
C41057266_P62308747,-5.18,-5.964,-5.534,-6.128,-5.906,-5.496,-6.077,-6.297
C72356826_P112509622,-6.524,-6.314,-5.75,-6.444,-6.019,-6.467,-5.765,-6.295
C31156164_P56765512,-5.409,-6.146,-5.574,-5.938,-4.72,-5.14,-5.931,-6.294
C87596272_P137013500,-5.255,-5.013,-5.562,-5.578,-5.664,-4.622,-5.757,-6.293
C40165619_P60961243,-4.81,-6.004,-6.158,-6.084,-5.665,-5.641,-5.531,-6.293
