ZINC_ID, docking_score,Flag
C36304003_P152393792,-4.792,0
C40180207_P60980048,-4.791,0
P05932184,-4.791,0
P140821272,-4.789,0
C33367771_P49402180,-4.787,0
C20911755_P31225610,-4.786,0
C20029003_P29800964,-4.785,0
P06968079,-4.784,0
P67862647,-4.784,0
P74037113,-4.784,0
P58314741,-4.783,0
P66855599,-4.783,0
C97967146_P155574431,-4.781,0
C20267414_P30187156,-4.779,0
P59596836,-4.779,0
P120577512,-4.773,0
C90529343_P141561221,-4.771,0
C73836720_P115007724,-4.77,0
P136627583,-4.77,0
C97961400_P155561623,-4.769,0
P155240977,-4.769,0
C20193272_P108669539,-4.768,0
C08444172_P59611004,-4.767,0
C41146758_P62456160,-4.767,0
C58996996_P89357354,-4.767,0
P137576709,-4.767,0
P144876908,-4.767,0
P151424143,-4.764,0
C98228755_P156225648,-4.763,0
C36659421_P58708661,-4.763,0
P135213046,-4.763,0
P155290316,-4.763,0
P56579216,-4.762,0
P26318663,-4.761,0
P18097099,-4.76,0
C63772121_P97922771,-4.759,0
C36146791_P53727990,-4.758,0
P108662689,-4.758,0
P144433289,-4.758,0
C20912183_P31267166,-4.757,0
P49401128,-4.757,0
P107071145,-4.756,0
P136307575,-4.756,0
C96488941_P152426021,-4.755,0
P130216215,-4.753,0
P155618959,-4.75,0
C20832689_P31105474,-4.748,0
C38704827_P61581428,-4.744,0
P124177010,-4.743,0
P30894957,-4.743,0
P60483167,-4.743,0
C19210565_P155872564,-4.742,0
C69973525_P107843839,-4.741,0
P133047226,-4.741,0
P49466223,-4.741,0
P98036058,-4.74,0
C18263125_P27296840,-4.738,0
P53712062,-4.738,0
C39358190_P59636651,-4.737,0
P121849851,-4.73,0
C12772999_P18838447,-4.729,0
P52656383,-4.729,0
P58703471,-4.729,0
C40522054_P61534516,-4.728,0
P120837603,-4.728,0
C64818911_P151915114,-4.724,0
C97985347_P155614631,-4.724,0
C19881403_P29552329,-4.723,0
P155015623,-4.723,0
P48306299,-4.723,0
C96346659_P152015785,-4.722,0
P36305073,-4.721,0
C94544050_P148200188,-4.72,0
C73836773_P115007870,-4.719,0
P155654865,-4.717,0
P154256149,-4.715,0
P54266543,-4.715,0
P59696948,-4.714,0
P92017621,-4.714,0
