Ligand,Score,Flag
ZINC000000018644,-6.13581085,0
ZINC000000035817,-6.13417768,0
ZINC000000002755,-6.13209152,0
ZINC000000001059,-6.12121773,0
ZINC000000000092,-6.11511517,0
ZINC000000034148,-6.10962534,0
ZINC000000016359,-6.10701895,0
ZINC000000018650,-6.10428333,0
ZINC000000032955,-6.09789085,0
ZINC000000020315,-6.09193754,0
ZINC000000000135,-6.09045458,0
ZINC000000009770,-6.088305,0
ZINC000000076091,-6.08774233,0
ZINC000000009772,-6.08717632,0
ZINC000000001327,-6.07347965,0
ZINC000000001045,-6.06565952,0
ZINC000000017058,-6.0651145,0
ZINC000000011055,-6.06170082,0
ZINC000000005885,-6.05154514,0
ZINC000000033128,-6.04670572,0
ZINC000000049829,-6.03994083,0
ZINC000000010250,-6.0314188,0
ZINC000000013245,-6.02956533,0
ZINC000000000231,-6.01705694,0
ZINC000000164646,-6.01384974,0
ZINC000000011613,-6.01051426,0
ZINC000000002012,-6.00970554,0
ZINC000000053631,-6.00752544,0
ZINC000000022774,-6.00696564,0
ZINC000000033964,-5.98880482,0
ZINC000000018649,-5.98324251,0
ZINC000000086873,-5.9820528,0
ZINC000000040751,-5.97140884,0
ZINC000000028413,-5.96978998,0
ZINC000000023623,-5.95619345,0
ZINC000000008678,-5.95510292,0
ZINC000000025972,-5.94110584,0
ZINC000000001071,-5.93375206,0
ZINC000000022185,-5.91471004,0
ZINC000000017836,-5.90315437,0
ZINC000000043467,-5.89946079,0
ZINC000000026449,-5.8983283,0
ZINC000000035062,-5.89398956,0
ZINC000000000665,-5.89056683,0
ZINC000000013300,-5.88673973,0
ZINC000000028584,-5.88616514,0
ZINC000000011941,-5.87996054,0
ZINC000000039066,-5.8751564,0
ZINC000000019869,-5.86834812,0
ZINC000000039579,-5.86446714,0
ZINC000000107953,-5.85389853,0
ZINC000000032153,-5.85182238,0
ZINC000000039919,-5.8482089,0
ZINC000000032508,-5.84246826,0
ZINC000000001582,-5.83547926,0
ZINC000000077224,-5.83041859,0
ZINC000000040816,-5.82300138,0
ZINC000000005914,-5.8208828,0
ZINC000000003682,-5.81522226,0
ZINC000000006235,-5.80936193,0
ZINC000000031984,-5.80596399,0
ZINC000000072416,-5.80584574,0
ZINC000000000882,-5.80384874,0
ZINC000000039518,-5.80204105,0
ZINC000000022760,-5.78607368,0
ZINC000000164513,-5.76265764,0
ZINC000000001037,-5.76210451,0
ZINC000000039063,-5.74895,0
ZINC000000107504,-5.74851084,0
ZINC000000066375,-5.74587727,0
ZINC000000136584,-5.74164057,0
ZINC000000046149,-5.73879576,0
ZINC000000039457,-5.73558235,0
ZINC000000047331,-5.72285414,0
ZINC000000389066,-5.72028351,0
ZINC000000015471,-5.71614408,0
ZINC000000019389,-5.71076822,0
ZINC000000004888,-5.66761446,0
ZINC000000001742,-5.65707874,0
ZINC000000002202,-5.64583111,0
ZINC000000052981,-5.63287401,0
ZINC000000043850,-5.62216568,0
ZINC000000001035,-5.61832428,0
ZINC000000034303,-5.61807251,0
ZINC000000033459,-5.61399651,0
ZINC000000057197,-5.61163855,0
ZINC000000013670,-5.60827875,0
ZINC000000001729,-5.6029253,0
ZINC000000039513,-5.6025219,0
ZINC000000000813,-5.59468412,0
ZINC000000049625,-5.57977438,0
ZINC000000001580,-5.57370043,0
ZINC000000039597,-5.56840801,0
ZINC000000032658,-5.56314754,0
ZINC000000039928,-5.56048489,0
ZINC000000001900,-5.55874825,0
ZINC000000001574,-5.55745077,0
ZINC000000001905,-5.55161572,0
ZINC000000005575,-5.53279781,0
ZINC000000007604,-5.5148387,0
ZINC000000025834,-5.51318502,0
ZINC000000015552,-5.50144386,0
ZINC000000001901,-5.501369,0
ZINC000000050419,-5.5011754,0
ZINC000000337939,-5.49987364,0
ZINC000000002127,-5.49907303,0
ZINC000000160853,-5.49205971,0
ZINC000000022768,-5.49069452,0
ZINC000000165748,-5.48802996,0
ZINC000000058199,-5.48472357,0
ZINC000000003020,-5.481812,0
ZINC000000040825,-5.47469664,0
ZINC000000123369,-5.46188688,0
ZINC000000039913,-5.4609313,0
ZINC000000076515,-5.45783901,0
ZINC000000022766,-5.45495462,0
ZINC000000008681,-5.45042133,0
ZINC000000158115,-5.44739103,0
ZINC000000011152,-5.44649744,0
ZINC000000050917,-5.44325686,0
ZINC000000008401,-5.4408493,0
ZINC000000152509,-5.43728352,0
ZINC000000093598,-5.4307971,0
ZINC000000075099,-5.41777182,0
ZINC000000155106,-5.41580296,0
ZINC000000039481,-5.41501331,0
ZINC000000001385,-5.41347122,0
ZINC000000006164,-5.41223001,0
ZINC000000004949,-5.41151619,0
ZINC000000039521,-5.41056776,0
ZINC000000158336,-5.40805387,0
